"","CNES","address","latLng.lat","latLng.lng","nome","Id","CEP","latLng.Latitude","latLng.Longitude"
"1",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5000,48350000,-11.71163,-38.17391
"2",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5702,48288000,-12.4921,-37.99909
"3",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5747,40250200,-12.97892,-38.4915
"4",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",1866,45201160,-13.85668,-40.09505
"5",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5625,41740501,-12.97234,-38.41852
"6",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5146,47650000,-13.61766,-45.29704
"7",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5001,41120635,-12.97118,-38.45631
"8",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",4990,40350070,-12.94406,-38.47589
"9",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2021,44550000,-12.83921,-39.09609
"10",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5144,41500360,-12.91573,-38.3567
"11",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",1864,40300160,-12.9609,-38.49197
"12",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5748,45270000,-14.84809,-40.18833
"13",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5704,45680000,-14.51232,-39.19811
"14",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5369,44630000,-11.72014,-40.1491
"15",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5624,48850000,-10.68625,-39.84685
"16",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",4999,41192005,-12.95688,-38.44231
"17",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",4998,43805020,-12.69528,-38.47785
"18",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5055,40800400,-12.84631,-38.45257
"19",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2739,44270000,-12.42035,-38.58265
"20",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5054,41210040,-12.94698,-38.45059
"21",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",7071,40715480,-12.88148,-38.47164
"22",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",7900,41211835,-12.94608,-38.44245
"23",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5755,40435590,-12.92568,-38.49965
"24",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5323,43810150,-12.66748,-38.5461699
"25",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5746,40715335,-12.88561,-38.47002
"26",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",3792,45820082,-16.3834899,-39.59008
"27",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2786,44900000,-11.30516,-41.84114
"28",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5143,41207264,-12.93992,-38.44398
"29",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5057,42800500,-12.70388,-38.32223
"30",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5140,46440000,-14.28967,-43.64653
"31",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5056,40366530,-12.94563,-38.48944
"32",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",7898,40451360,-12.93602,-38.49406
"33",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5628,41235000,-12.92022,-38.44296
"34",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5627,48120000,-12.35115,-38.27623
"35",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5004,44200000,-12.54347,-38.7569
"36",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5385,41340060,-12.89384,-38.41193
"37",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2020,46880000,-12.52115,-40.26313
"38",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",4989,48605670,-9.38295,-38.2307
"39",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",5145,48108000,-12.14747,-38.17639
"40",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2066,46800000,-12.23522,-40.59847
"41",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2032,46290000,-15.00321,-42.33192
"42",3778,"Rua Barão de Cotegipe, 1153 - Roma, Salvador - BA, 40411-900, Brazil",-12.9350374,-38.5056188,"HOSPITAL DA MULHER",2784,43805035,-12.67358,-38.54656
